FID,GlobalID,Type,SubType,Name,Orig_Name,Source,Province,Prov_Code,District,Distr_Code,LAT,LONG,Data_year,x,y
856,36LVK389821_001,School,Basic School,Kapoko Basic School,kapoko basic school,ZamStats,Eastern,103,Kasenengwa,103012,-13.7294745799,32.4355425698,2010,32.4355425698338,-13.7294745798879
857,36LVK392618_001,School,Community School,Mbazima Community School,mbazima community school,ZamStats,Eastern,103,Chipata,103002,-13.9132009496,32.4380429702,2010,32.4380429702069,-13.9132009495641
858,36LVK461791_001,School,Basic School,Nyane Basic School,nyane  basic school,ZamStats,Eastern,103,Chipata,103002,-13.7564943996,32.5014965797,2010,32.5014965797034,-13.7564943995968
859,36LVK525918_002,School,Basic School,Msekera Basic School,msekera basic,ZamStats,Eastern,103,Chipata,103002,-13.6415720498,32.5615395904,2010,32.5615395903798,-13.6415720498102
860,36LVK357776_001,School,Community School,Taonga Community School,taonga com sch,ZamStats,Eastern,103,Kasenengwa,103012,-13.7696743599,32.4056407998,2010,32.4056407997832,-13.7696743598838
861,36LVK285660_002,School,Basic School,Chingazi Basic School,chingazi basic sch,ZamStats,Eastern,103,Kasenengwa,103012,-13.8746331396,32.3389772599,2010,32.3389772598927,-13.8746331396077
862,36LVK617884_003,School,Basic School,Lutembwe Basic School,lutembwe basic school,ZamStats,Eastern,103,Chipata,103002,-13.6723226603,32.6465503603,2010,32.6465503603109,-13.6723226602625
863,36LVK634894_001,School,Basic School,St atanazio Basic School,st atanazio basic school,ZamStats,Eastern,103,Chipata,103002,-13.6639916304,32.6624854503,2010,32.6624854503433,-13.6639916304094
864,36LVK640886_003,School,Basic School,St betty Basic School,st betty basic school,ZamStats,Eastern,103,Chipata,103002,-13.6711041796,32.6678363698,2010,32.6678363697527,-13.6711041796141
865,36LVK646880_001,School,Basic School,Damview Basic School,damview basic school,ZamStats,Eastern,103,Chipata,103002,-13.6765989402,32.6735317898,2010,32.6735317897603,-13.6765989401889
866,36LVK631892_003,School,Basic School,Mchini Basic School,mchini basic school,ZamStats,Eastern,103,Chipata,103002,-13.6650787696,32.6591506203,2010,32.659150620305,-13.6650787695695
867,36LVK002777_002,School,Community School,Kasengele Community School,kasengele c sc,ZamStats,Eastern,103,Mambwe,103005,-13.7677040199,32.0772239999,2010,32.0772239998877,-13.7677040199245
868,36LTJ805986_002,School,Basic School,Kapakasa Basic School,kapakasa b sch,ZamStats,Eastern,103,Nyimba,103006,-14.4761371997,30.9636337702,2010,30.9636337701824,-14.476137199672
869,36LTJ406650_001,School,High School,Kacholola High School,kacholola high,ZamStats,Eastern,103,Nyimba,103006,-14.7757284599,30.5911481099,2010,30.5911481098974,-14.7757284599004
870,36LTJ713734_002,School,Basic School,Mombwe Basic School,mombwe basic school,ZamStats,Eastern,103,Nyimba,103006,-14.70271043,30.8763972699,2010,30.8763972699181,-14.7027104300423
871,36LTJ194515_002,School,Basic School,Mvuma Basic School,mvuma bsc sch,ZamStats,Eastern,103,Nyimba,103006,-14.8959126297,30.3926379002,2010,30.392637900219,-14.8959126296641
872,36LTK407099_002,School,Basic School,Ambo Basic School,ambo b schl,ZamStats,Eastern,103,Nyimba,103006,-14.3700962298,30.5961034904,2010,30.5961034903838,-14.3700962297572
873,36LTK895030_002,School,Basic School,Mphundwe Basic School,mphundwe b sch,ZamStats,Eastern,103,Nyimba,103006,-14.4367305201,31.0481213397,2010,31.0481213397281,-14.4367305200974
874,36LTK861096_001,School,Community School,Sangano Community School,sangano c sch,ZamStats,Eastern,103,Nyimba,103006,-14.3772599099,31.0167170301,2010,31.016717030067,-14.3772599099169
875,36LTJ507985_001,School,Basic School,Chinambi Basic School,chinambi b sch,ZamStats,Eastern,103,Nyimba,103006,-14.47469442,30.6872296098,2010,30.6872296097587,-14.4746944200114
876,36LTK494050_002,School,Basic School,Simalama Basic School,simalama b sch,ZamStats,Eastern,103,Nyimba,103006,-14.4156345302,30.6763786499,2010,30.6763786498549,-14.4156345302093
877,36LTJ807916_002,School,Basic School,Kabvuma Basic School,kabvuma basic school,ZamStats,Eastern,103,Petauke,103006,-14.5392080001,30.9652021096,2010,30.9652021095897,-14.539208000149
878,36LTJ404654_001,School,Basic School,Mombe Basic School,mombe basc,ZamStats,Eastern,103,Nyimba,103006,-14.7728914397,30.5891280698,2010,30.5891280698046,-14.7728914396881
879,36LTJ655709_002,School,Basic School,Nyakaloko Basic School,nyakaloko basic school,ZamStats,Eastern,103,Nyimba,103006,-14.7249955701,30.8223049104,2010,30.8223049104433,-14.7249955700894
880,36LTK821456_002,School,Basic School,Muliro Basic School,muliro b schl,ZamStats,Eastern,103,Nyimba,103006,-14.0517328602,30.9830152404,2010,30.9830152403611,-14.0517328601833
881,36LUK140175_001,School,Basic School,Kangambwa Basic School,kangambwa basic sch,ZamStats,Eastern,103,Petauke,103007,-14.3076152604,31.2759424703,2010,31.2759424702688,-14.3076152604359
882,36LUK073162_001,School,School,Mtondo School,mtondo  sch,ZamStats,Eastern,103,Petauke,103007,-14.3185807202,31.2141392696,2010,31.2141392696117,-14.318580720224
883,36LUK148210_001,School,Community School,Mulawa Community School,mulawa com sch,ZamStats,Eastern,103,Petauke,103007,-14.2763495903,31.2832729504,2010,31.2832729503864,-14.2763495902614
884,36LUK145242_001,School,Basic School,Nyamiya Basic School,nyamiya basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2469463801,31.2813732801,2010,31.2813732800529,-14.2469463800713
885,36LUK046188_001,School,Basic School,Merwe Basic School,merwe basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2954423097,31.1886749596,2010,31.1886749595818,-14.2954423097148
886,36LUK187080_002,School,Basic School,Mondola Basic School,mondola basic sch,ZamStats,Eastern,103,Petauke,103007,-14.3937902001,31.3192374398,2010,31.3192374397561,-14.3937902000577
887,36LUJ176984_002,School,Basic School,Mumbi Basic School,mumbi basic sch,ZamStats,Eastern,103,Petauke,103007,-14.4801937896,31.3080415602,2010,31.3080415601699,-14.4801937896116
888,36LUK114001_002,School,Basic School,Kasonde Basic School,kasonde basic sch,ZamStats,Eastern,103,Petauke,103007,-14.4651571601,31.2506427901,2010,31.2506427901327,-14.4651571600749
889,36LUJ162938_001,School,Community School,Chisewa Community School,chisewa com sch,ZamStats,Eastern,103,Petauke,103007,-14.5217117896,31.2950317597,2010,31.295031759708,-14.5217117895674
890,36LUJ131917_001,School,Basic School,Mungongo Basic School,mungongo basic sch,ZamStats,Eastern,103,Petauke,103007,-14.5411496697,31.2659137803,2010,31.2659137802968,-14.5411496697214
891,36LUK235001_001,School,Community School,Chisoyo Community School,chisoyo com sch,ZamStats,Eastern,103,Petauke,103007,-14.4652305798,31.3627208199,2010,31.36272081991,-14.4652305798273
892,36LUK146290_001,School,School,Chiwizi School,chiwizi sch,ZamStats,Eastern,103,Petauke,103007,-14.2036971798,31.2826610697,2010,31.2826610696527,-14.203697179781
893,36LUK189392_002,School,Community School,Nkhwewakwewa Community School,nkhwewakwewa com sch,ZamStats,Eastern,103,Petauke,103007,-14.1123325098,31.3227854901,2010,31.3227854900584,-14.1123325098374
894,36LUK169238_002,School,School,Tasala School,tasala school,ZamStats,Eastern,103,Petauke,103007,-14.2509927402,31.3034319303,2010,31.3034319303393,-14.2509927402227
895,36LUK220232_001,School,Basic School,Anusa Basic School,anusa basic sch,ZamStats,Eastern,103,Petauke,103007,-14.25648289,31.3502210601,2010,31.3502210600539,-14.2564828899734
896,36LUK186203_002,School,Community School,Chamwala Community School,chamwala com sch,ZamStats,Eastern,103,Petauke,103007,-14.2825517,31.3191109501,2010,31.3191109501103,-14.2825517000009
897,36LUK219320_001,School,Community School,Community School,community sch,ZamStats,Eastern,103,Petauke,103007,-14.1770141499,31.3499859404,2010,31.3499859403989,-14.1770141498831
898,36LUK233249_001,School,Community School,Kasiyalwayo Community School,kasiyalwayo com sch,ZamStats,Eastern,103,Petauke,103007,-14.24164038,31.3623098603,2010,31.3623098603119,-14.2416403799995
899,36LUK232272_001,School,Community School,Kazulamame Community School,kazulamame com sch,ZamStats,Eastern,103,Petauke,103007,-14.2205801004,31.36227767,2010,31.3622776699785,-14.2205801003913
900,36LUK192291_001,School,Basic School,Lutwazi Basic School,lutwazi basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2033784996,31.32535857,2010,31.325358570042,-14.203378499618
901,36LUK164346_001,School,Basic School,Nyamphondolo Basic School,nyamphondolo basic sch,ZamStats,Eastern,103,Petauke,103007,-14.1530408996,31.2989802997,2010,31.2989802997011,-14.1530408996178
902,36LUK177187_001,School,Community School,Thomas Community School,saint thomas com sch,ZamStats,Eastern,103,Petauke,103007,-14.2967238202,31.3100228701,2010,31.3100228700595,-14.2967238202481
903,36LUK197231_002,School,Pre-School,Council Pre-School,council pre sch,ZamStats,Eastern,103,Petauke,103007,-14.2572332402,31.3294216999,2010,31.3294216998516,-14.2572332402218
904,36LUK186240_002,School,Pre-School,Daylight Pre-School,daylight pre sch,ZamStats,Eastern,103,Petauke,103007,-14.2490029596,31.31950272,2010,31.3195027199746,-14.2490029596188
905,36LUK198230_001,School,Basic School,Mizyu Basic School,mizyu basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2584680598,31.3303220804,2010,31.3303220803998,-14.2584680597531
906,36LUK192242_002,School,Basic School,Petauke Basic School,petauke basic sch,ZamStats,Eastern,103,Petauke,103007,-14.24782916,31.3246186996,2010,31.3246186995934,-14.2478291599877
907,36LUK200219_001,School,School,Petauke School,petauke boading sch,ZamStats,Eastern,103,Petauke,103007,-14.2680654196,31.3321826104,2010,31.3321826104392,-14.2680654195834
908,36LUK202217_001,School Affiliated Infrastructure,Teachers Compound,Petauke Teachers Compound,teacher compound,ZamStats,Eastern,103,Petauke,103007,-14.2703286202,31.3337212003,2010,31.3337212002732,-14.2703286201697
909,36LUK073132_001,School,Community School,Chifundo Community School,chifundo com sch,ZamStats,Eastern,103,Petauke,103007,-14.3463509702,31.2139327403,2010,31.2139327403038,-14.3463509702211
910,36LUK056128_001,School,Community School,Kapona Community School,kapona com sch,ZamStats,Eastern,103,Petauke,103007,-14.34970306,31.1982550596,2010,31.1982550596234,-14.3497030600481
911,36LUK134035_001,School,Basic School,Ongolwe Basic School,ongolwe basic sch,ZamStats,Eastern,103,Petauke,103007,-14.4342819099,31.2699287901,2010,31.2699287900816,-14.4342819098822
912,36LUK120097_001,School,Basic School,Chisonso Basic School,chisonso basic sch,ZamStats,Eastern,103,Petauke,103007,-14.3783382402,31.2564806996,2010,31.2564806996247,-14.3783382402175
