ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,93,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1992,DHS,3435,3443,,,
ZMB,473600,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTOT,,1992,DHS,3982,3991,,,
ZMB,736669,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTOT,,1992,DHS,2627,2639,,,
ZMB,88,Antenatal care from a skilled provider,88.5,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1992,DHS,3435,3443,,,
ZMB,473597,Antenatal care from a skilled provider,88.5,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1992,DHS,3982,3991,,,
ZMB,736664,Antenatal care from a skilled provider,88.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWSKP,,1992,DHS,2627,2639,,,
ZMB,834662,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3435,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNUM,,1992,DHS,,3443,,,
ZMB,469821,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3982,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNUM,,1992,DHS,,3991,,,
ZMB,740403,Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2627,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NUM,83363130,D,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNUM,,1992,DHS,,2639,,,
ZMB,7,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),3443,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWUNW,,1992,DHS,3435,,,,
ZMB,557922,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),3991,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWUNW,,1992,DHS,3982,,,,
ZMB,341841,Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2639,0,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_UNW,83363140,U,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWUNW,,1992,DHS,2627,,,,
ZMB,834691,Place of delivery: Public sector,39.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_PUB,83566010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCPUB,,1992,DHS,4064,4074,,,
ZMB,708341,Place of delivery: Public sector,39,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_PUB,83566010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCPUB,,1992,DHS,6279,6299,,,
ZMB,285925,Place of delivery: Public sector,38.7,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_PUB,83566010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCPUB,,1992,DHS,2774,2791,,,
ZMB,834689,Place of delivery: Private sector,11.5,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_PRV,83566020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCPRV,,1992,DHS,4064,4074,,,
ZMB,708344,Place of delivery: Private sector,11.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_PRV,83566020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCPRV,,1992,DHS,6279,6299,,,
ZMB,285929,Place of delivery: Private sector,11.4,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_PRV,83566020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCPRV,,1992,DHS,2774,2791,,,
ZMB,834690,Place of delivery: At home,48.8,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_HOM,83566030,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCHOM,,1992,DHS,4064,4074,,,
